season,month,airport_a,airport_b,risk_score,reason,cascade_cost
Spring (Mar-May),5,SAN,PNS,65.25026869855546,duty time violation risk,
Summer (Jun-Aug),6,LAX,TUL,65.2261357438335,duty time violation risk,
Winter (Dec-Feb),12,PHX,AUS,65.20891248169127,tight turnaround / missed connection risk,
Spring (Mar-May),5,STL,BTR,65.2088727937547,correlated weather delays; tight turnaround / missed connection risk,
Spring (Mar-May),5,LAS,GRK,65.19924467141684,correlated weather delays; tight turnaround / missed connection risk,
Fall (Sep-Nov),11,AUS,MIA,65.19683251137607,duty time violation risk,
Spring (Mar-May),5,LIT,CVG,65.19518347755873,correlated weather delays,
Spring (Mar-May),5,ATL,ONT,65.19273427740553,correlated weather delays; duty time violation risk,
Spring (Mar-May),5,CLT,EWR,65.17944737675334,correlated weather delays; duty time violation risk,13275.0
Spring (Mar-May),5,BNA,XNA,65.1775067258614,correlated weather delays; tight turnaround / missed connection risk,
Spring (Mar-May),5,MFE,PNS,65.17693710469544,correlated weather delays; tight turnaround / missed connection risk,
Spring (Mar-May),5,ORD,TUL,65.17357726713706,correlated weather delays; duty time violation risk,
Spring (Mar-May),5,SAN,PDX,65.15038470173965,correlated weather delays; duty time violation risk,
Spring (Mar-May),5,PHX,MSY,65.14802302046002,correlated weather delays; tight turnaround / missed connection risk,
Summer (Jun-Aug),6,ATL,MEM,65.14005852679492,duty time violation risk,
Summer (Jun-Aug),6,MCO,MSP,65.1394077047439,correlated weather delays; duty time violation risk,
Winter (Dec-Feb),12,ORD,IAH,65.13629830418265,duty time violation risk,
Winter (Dec-Feb),1,BTR,LFT,65.13614858217092,correlated weather delays; tight turnaround / missed connection risk,21750.0
Spring (Mar-May),5,COS,GRK,65.12886714227012,tight turnaround / missed connection risk,
Spring (Mar-May),5,SAN,MCI,65.12019525399812,correlated weather delays; duty time violation risk,
Summer (Jun-Aug),6,DEN,EWR,65.11999232744697,duty time violation risk,
Spring (Mar-May),5,SAT,SMF,65.11023326811893,correlated weather delays,
Spring (Mar-May),5,AUS,TYS,65.09950943384976,correlated weather delays; tight turnaround / missed connection risk,
Spring (Mar-May),5,SLC,LFT,65.0893703874674,correlated weather delays; tight turnaround / missed connection risk,
Spring (Mar-May),5,MAF,SAF,65.07809760012633,correlated weather delays; tight turnaround / missed connection risk,
Summer (Jun-Aug),6,PHX,DTW,65.07389517264637,duty time violation risk,
Summer (Jun-Aug),6,ORD,SFO,65.07268445362465,tight turnaround / missed connection risk,
Spring (Mar-May),5,SHV,FAT,65.06815980389504,correlated weather delays,
Spring (Mar-May),5,ELP,PDX,65.04685564231339,correlated weather delays,
Spring (Mar-May),5,SAN,JAN,65.03807873889221,correlated weather delays; duty time violation risk,
Summer (Jun-Aug),7,LAX,MSY,65.03467586024995,tight turnaround / missed connection risk,34800.0
Spring (Mar-May),5,SAT,OMA,65.03368167058211,correlated weather delays; tight turnaround / missed connection risk,
Spring (Mar-May),4,LGA,TPA,65.02978603852398,correlated weather delays; duty time violation risk,
Spring (Mar-May),5,SFO,TUL,65.02383461192903,correlated weather delays; duty time violation risk,33975.0
Winter (Dec-Feb),12,MIA,PHL,65.0183636959818,duty time violation risk,
Spring (Mar-May),5,BTR,FAT,65.00084532361385,correlated weather delays,
