season,avoid_origin,avoid_dest,avoid_risk,swap_dest,swap_risk,risk_reduction
Summer (Jun-Aug),LAX,SFO,70.1774549972711,HRL,28.312126782198675,41.865328215072424
Summer (Jun-Aug),LIT,MAF,70.85788804697015,CHA,29.04663709312608,41.811250953844066
Winter (Dec-Feb),XNA,ELP,66.87942862227152,LRD,25.092072709465604,41.787355912805914
Winter (Dec-Feb),PHX,LIT,68.83188098253076,HRL,27.108124252869185,41.723756729661574
Winter (Dec-Feb),SAT,SAN,69.31043839495433,HRL,27.595626408024923,41.714811986929405
Summer (Jun-Aug),LAS,SLC,67.2242647728239,HRL,25.515542986620186,41.70872178620371
Summer (Jun-Aug),MCO,BOS,71.68982478495136,HRL,29.994349102491487,41.69547568245987
Summer (Jun-Aug),ORD,DTW,67.01984267885425,HRL,25.390833356155145,41.629009322699105
Summer (Jun-Aug),MCO,OKC,71.57804950055969,HRL,29.994349102491487,41.5837003980682
Winter (Dec-Feb),LAX,SEA,69.50191284976728,HRL,27.963635361808272,41.53827748795901
Winter (Dec-Feb),LIT,SHV,65.46747749957068,HRL,23.99685644025505,41.470621059315626
Summer (Jun-Aug),MIA,LIT,69.98473817307111,HRL,28.52465206318216,41.46008610988895
Summer (Jun-Aug),LAX,BOS,69.73094243358078,HRL,28.312126782198675,41.418815651382104
Summer (Jun-Aug),CLT,FLL,67.57881376165787,CHA,26.173926532832223,41.40488722882564
Summer (Jun-Aug),LAS,SAT,66.90894936775784,HRL,25.515542986620186,41.39340638113765
Summer (Jun-Aug),IAH,DTW,68.07858734819683,HRL,26.741992567668415,41.336594780528415
Winter (Dec-Feb),AUS,BOS,67.7929427514861,HRL,26.459201032393942,41.33374171909215
Summer (Jun-Aug),PHX,FLL,68.21664998749308,HRL,26.911666036713456,41.30498395077963
Summer (Jun-Aug),IAH,SFO,68.04307290927773,HRL,26.741992567668415,41.30108034160931
Summer (Jun-Aug),PHX,SEA,68.2072628521378,HRL,26.911666036713456,41.29559681542435
Winter (Dec-Feb),ORD,IAH,65.13629830418265,HRL,24.043950994178868,41.092347310003774
Summer (Jun-Aug),LIT,TPA,70.12231317446066,CHA,29.04663709312608,41.07567608133458
Winter (Dec-Feb),LGA,BOS,68.42777190096716,HRL,27.377653842215565,41.05011805875159
Winter (Dec-Feb),XNA,LBB,66.0822609341204,LRD,25.092072709465604,40.990188224654794
Winter (Dec-Feb),LGA,SFO,68.36300443715011,HRL,27.377653842215565,40.985350594934545
Winter (Dec-Feb),CLT,LIT,66.11261856779974,HRL,25.13352069995127,40.97909786784847
Summer (Jun-Aug),LAS,SAN,66.48734406691563,HRL,25.515542986620186,40.971801080295435
Winter (Dec-Feb),PHL,SAN,69.29320285058262,HRL,28.338379790430476,40.95482306015214
Winter (Dec-Feb),LAX,PHX,68.90835548137078,HRL,27.963635361808272,40.944720119562504
Winter (Dec-Feb),SEA,MIA,65.48190531721475,HRL,24.56433225140577,40.91757306580898
Summer (Jun-Aug),LAS,SFO,66.33301395295733,HRL,25.515542986620186,40.81747096633714
Winter (Dec-Feb),LAX,LGA,68.66697722958843,HRL,27.963635361808272,40.70334186778015
Summer (Jun-Aug),LAX,BNA,69.01425980919302,HRL,28.312126782198675,40.702133026994346
Summer (Jun-Aug),MCO,PHL,70.62201782538331,HRL,29.994349102491487,40.627668722891826
Summer (Jun-Aug),AUS,CLT,66.38080469894196,HRL,25.796220732831742,40.584583966110216
Winter (Dec-Feb),LAX,SFO,68.45075757239736,HRL,27.963635361808272,40.48712221058909
Summer (Jun-Aug),SAN,FLL,65.59565977384837,LRD,25.15145835509316,40.44420141875521
Summer (Jun-Aug),LAS,LIT,65.8536615536981,HRL,25.515542986620186,40.33811856707791
